Date ,Time ,Uncorrected Out (cm/hr),Uncorrected In (cm/hr),Corrected Out (cm/hr),Corrected In (cm/hr),Sap Flow Out (kg/hr),Sap Flow In (kg/hr),Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Message,,,,,,,,,,,
11/6/2020,16:00:00,,,,,,,3.64,39.59,present ,25.37,103.2, skipped: low power. ,,,,,,,,,,,
11/6/2020,16:30:01,5.13,-2.158,10.594,-2.003,0.105,-0.02,3.75,42.5,present ,25.75,100.8,,,,,,,,,,,,
11/6/2020,17:00:01,5.933,-2.095,11.983,-1.893,0.119,-0.018,3.79,43.4,present ,26.95,96.6,,,,,,,,,,,,
11/6/2020,17:30:00,5.132,-2.035,10.598,-1.789,0.105,-0.017,3.81,42.9,present ,25.54,101.7,,,,,,,,,,,,
11/6/2020,18:00:00,4.285,-2.002,9.135,-1.732,0.091,-0.017,3.83,42.8,present ,25.51,102,,,,,,,,,,,,
11/6/2020,18:30:01,4.575,-2.024,9.636,-1.77,0.096,-0.017,3.87,43.2,present ,28.82,90.6,,,,,,,,,,,,
11/6/2020,19:00:01,4.673,-2.036,9.804,-1.791,0.098,-0.017,3.93,43.6,present ,25.64,101.4,,,,,,,,,,,,
11/6/2020,19:30:01,4.219,-1.966,9.02,-1.669,0.09,-0.016,3.98,43,present ,26.13,99.6,,,,,,,,,,,,
11/6/2020,20:00:01,3.467,-2.038,7.72,-1.795,0.077,-0.017,4.05,42.1,present ,25.33,102.3,,,,,,,,,,,,
11/6/2020,20:30:00,2.555,-2.067,6.144,-1.845,0.061,-0.018,4.16,39.7,present ,25.32,100.5,,,,,,,,,,,,
11/6/2020,21:00:01,1.842,-2.11,4.913,-1.918,0.049,-0.019,4.16,27.2,present ,25.3,29.7,,,,,,,,,,,,
11/6/2020,21:30:00,1.407,-2.183,4.16,-2.044,0.041,-0.02,4.17,25.7,present ,25.26,29.4,,,,,,,,,,,,
11/6/2020,22:00:00,0.861,-2.216,3.217,-2.103,0.032,-0.021,4.18,24.7,present ,25.18,28.8,,,,,,,,,,,,
11/6/2020,22:30:01,0.636,-2.112,2.829,-1.922,0.028,-0.019,4.19,23.1,present ,25.15,28.5,,,,,,,,,,,,
11/6/2020,23:00:00,0.51,-2.259,2.611,-2.177,0.026,-0.021,4.19,22,present ,25.11,28.5,,,,,,,,,,,,
11/6/2020,23:30:01,0.176,-2.169,2.033,-2.022,0.02,-0.02,4.19,21.2,present ,25.07,27.3,,,,,,,,,,,,
12/6/2020,0:00:01,0.158,-2.255,2.001,-2.169,0.02,-0.021,4.19,20.29,present ,25,27.3,,,,,,,,,,,,
12/6/2020,0:30:01,-0.016,-2.305,1.699,-2.255,0.016,-0.022,4.19,20.1,present ,24.99,27,,,,,,,,,,,,
12/6/2020,1:00:01,-0.128,-2.367,1.505,-2.363,0.015,-0.023,4.19,19.9,present ,24.92,27,,,,,,,,,,,,
12/6/2020,1:30:01,-0.458,-2.402,0.935,-2.423,0.009,-0.024,4.19,19.5,present ,24.85,27,,,,,,,,,,,,
12/6/2020,2:00:01,-0.168,-2.462,1.436,-2.528,0.014,-0.025,4.19,19.29,present ,24.82,27,,,,,,,,,,,,
12/6/2020,2:30:00,-0.381,-2.357,1.068,-2.346,0.01,-0.023,4.19,19.2,present ,24.74,27,,,,,,,,,,,,
12/6/2020,3:00:01,-0.341,-2.371,1.138,-2.371,0.011,-0.023,4.19,19.5,present ,24.67,27,,,,,,,,,,,,
12/6/2020,3:30:00,-0.278,-2.32,1.247,-2.282,0.012,-0.022,4.19,19.6,present ,24.6,27,,,,,,,,,,,,
12/6/2020,4:00:00,-0.217,-2.367,1.352,-2.363,0.013,-0.023,4.19,19.7,present ,24.53,27,,,,,,,,,,,,
12/6/2020,4:30:00,-0.379,-2.409,1.072,-2.435,0.01,-0.024,4.19,19.4,present ,24.35,26.7,,,,,,,,,,,,
12/6/2020,5:00:00,-0.248,-2.355,1.298,-2.341,0.012,-0.023,4.19,18.9,present ,24.11,27,,,,,,,,,,,,
12/6/2020,5:30:00,-0.307,-2.309,1.196,-2.263,0.011,-0.022,4.19,18.7,present ,23.9,27.3,,,,,,,,,,,,
12/6/2020,6:00:01,-0.319,-2.356,1.176,-2.345,0.011,-0.023,4.19,18.4,present ,23.75,27,,,,,,,,,,,,
12/6/2020,6:30:01,-0.17,-2.291,1.433,-2.232,0.014,-0.022,4.19,18.5,present ,23.68,27.3,,,,,,,,,,,,
12/6/2020,7:00:00,0.014,-2.407,1.754,-2.431,0.017,-0.024,4.19,18.5,present ,23.65,27.3,,,,,,,,,,,,
12/6/2020,7:30:01,0.106,-2.328,1.913,-2.296,0.019,-0.022,4.19,18.79,present ,23.61,27.6,,,,,,,,,,,,
12/6/2020,8:00:01,0.09,-2.269,1.885,-2.194,0.018,-0.021,4.19,18.7,present ,23.68,27.3,,,,,,,,,,,,
12/6/2020,8:30:01,0.549,-2.317,2.677,-2.276,0.026,-0.022,4.19,20,present ,23.97,27.6,,,,,,,,,,,,
12/6/2020,9:00:01,1.152,-2.19,3.72,-2.056,0.037,-0.02,4.19,21.2,present ,24.32,27.3,,,,,,,,,,,,
12/6/2020,9:30:01,2.226,-2.267,5.575,-2.191,0.055,-0.021,4.19,23.3,present ,23.83,27.9,,,,,,,,,,,,
12/6/2020,10:00:01,3.466,-2.262,7.719,-2.182,0.077,-0.021,4.19,25.4,present ,24.32,27.6,,,,,,,,,,,,
12/6/2020,10:30:00,5.11,-2.168,10.561,-2.019,0.105,-0.02,4.19,27.7,present ,25.67,27.3,,,,,,,,,,,,
12/6/2020,11:00:00,5.76,-2.122,11.683,-1.939,0.116,-0.019,4.19,28.7,present ,26.41,26.4,,,,,,,,,,,,
12/6/2020,11:30:01,6.469,-2.144,12.909,-1.977,0.129,-0.019,4.19,29.2,present ,27.22,26.1,,,,,,,,,,,,
12/6/2020,12:00:00,6.736,-2.071,13.37,-1.851,0.133,-0.018,4.19,29.8,present ,27.29,26.4,,,,,,,,,,,,
12/6/2020,12:30:00,7.169,-2.094,14.119,-1.891,0.141,-0.018,4.19,32.09,present ,27.71,25.8,,,,,,,,,,,,
12/6/2020,13:00:00,6.525,-2.148,13.006,-1.985,0.13,-0.019,4.19,31.2,present ,27.54,25.8,,,,,,,,,,,,
12/6/2020,13:30:00,5.717,-2.089,11.61,-1.882,0.116,-0.018,4.19,31.1,present ,26.44,26.7,,,,,,,,,,,,
12/6/2020,14:00:01,4.015,-2.17,8.667,-2.022,0.086,-0.02,4.19,31.2,present ,26.83,26.1,,,,,,,,,,,,
12/6/2020,14:30:01,3.378,-2.156,7.567,-1.999,0.075,-0.019,4.19,31.1,present ,27.18,26.1,,,,,,,,,,,,
12/6/2020,15:00:00,3.987,-2.143,8.62,-1.975,0.086,-0.019,4.19,31.4,present ,26.34,26.7,,,,,,,,,,,,
12/6/2020,15:30:01,3.298,-2.064,7.428,-1.84,0.074,-0.018,4.19,30.3,present ,26.23,26.1,,,,,,,,,,,,
12/6/2020,16:00:01,2.867,-2.138,6.684,-1.967,0.066,-0.019,4.19,27.9,present ,26.54,25.5,,,,,,,,,,,,
12/6/2020,16:30:01,2.801,-2.229,6.569,-2.125,0.065,-0.021,4.19,27.2,present ,26.97,25.8,,,,,,,,,,,,
12/6/2020,17:00:00,3.546,-2.167,7.857,-2.017,0.078,-0.02,4.19,28.2,present ,26.65,26.4,,,,,,,,,,,,
12/6/2020,17:30:00,3.086,-2.16,7.063,-2.005,0.07,-0.02,4.19,28,present ,27.85,25.5,,,,,,,,,,,,
12/6/2020,18:00:00,3.142,-2.155,7.158,-1.996,0.071,-0.019,4.19,27,present ,28.52,25.2,,,,,,,,,,,,
12/6/2020,18:30:00,2.737,-2.172,6.459,-2.025,0.064,-0.02,4.19,26.5,present ,25.87,26.1,,,,,,,,,,,,
12/6/2020,19:00:00,2.007,-2.219,5.198,-2.108,0.051,-0.021,4.19,24.7,present ,25.73,26.4,,,,,,,,,,,,
12/6/2020,19:30:00,1.635,-2.215,4.554,-2.1,0.045,-0.021,4.19,25,present ,25.73,26.1,,,,,,,,,,,,
12/6/2020,20:00:00,1.325,-2.193,4.019,-2.062,0.04,-0.02,4.19,24.9,present ,25.63,26.4,,,,,,,,,,,,
12/6/2020,20:30:00,1.01,-2.185,3.474,-2.048,0.034,-0.02,4.19,24.6,present ,25.59,26.4,,,,,,,,,,,,
12/6/2020,21:00:00,1.017,-2.285,3.487,-2.221,0.034,-0.022,4.19,24.6,present ,25.56,26.4,,,,,,,,,,,,
12/6/2020,21:30:01,0.619,-2.287,2.798,-2.225,0.027,-0.022,4.19,23,present ,25.54,24.9,,,,,,,,,,,,
12/6/2020,22:00:01,0.488,-2.187,2.572,-2.053,0.025,-0.02,4.19,22.4,present ,25.47,24.9,,,,,,,,,,,,
12/6/2020,22:30:01,0.374,-2.224,2.376,-2.116,0.023,-0.021,4.19,21.6,present ,25.44,25.2,,,,,,,,,,,,
12/6/2020,23:00:00,0.112,-2.274,1.922,-2.202,0.019,-0.022,4.19,21.1,present ,25.4,25.2,,,,,,,,,,,,
12/6/2020,23:30:00,-0.027,-2.221,1.68,-2.11,0.016,-0.021,4.19,20.6,present ,25.37,25.2,,,,,,,,,,,,
13/06/2020,0:00:01,-0.034,-2.344,1.667,-2.323,0.016,-0.023,4.19,20.7,present ,25.3,25.5,,,,,,,,,,,,
13/06/2020,0:30:01,-0.088,-2.279,1.574,-2.211,0.015,-0.022,4.19,20,present ,25.3,24.9,,,,,,,,,,,,
13/06/2020,1:00:01,-0.231,-2.318,1.327,-2.279,0.013,-0.022,4.19,19.29,present ,25.26,25.2,,,,,,,,,,,,
13/06/2020,1:30:01,-0.326,-2.317,1.163,-2.277,0.011,-0.022,4.19,18.7,present ,25.22,24.9,,,,,,,,,,,,
13/06/2020,2:00:00,-0.412,-2.217,1.015,-2.103,0.01,-0.021,4.19,18.2,present ,25.19,25.2,,,,,,,,,,,,
13/06/2020,2:30:00,-0.288,-2.322,1.23,-2.285,0.012,-0.022,4.19,17.6,present ,25.16,25.2,,,,,,,,,,,,
13/06/2020,3:00:00,-0.416,-2.299,1.009,-2.246,0.01,-0.022,4.19,17.2,present ,25.12,25.2,,,,,,,,,,,,
13/06/2020,3:30:00,-0.592,-2.342,0.703,-2.32,0.007,-0.023,4.19,17,present ,25.09,25.2,,,,,,,,,,,,
13/06/2020,4:00:00,-0.395,-2.347,1.044,-2.328,0.01,-0.023,4.19,17.5,present ,25.05,25.5,,,,,,,,,,,,
13/06/2020,4:30:00,-0.477,-2.298,0.903,-2.243,0.009,-0.022,4.19,17.6,present ,25.02,25.5,,,,,,,,,,,,
13/06/2020,5:00:00,-0.457,-2.31,0.937,-2.264,0.009,-0.022,4.19,17.4,present ,24.98,24.9,,,,,,,,,,,,
13/06/2020,5:30:00,-0.564,-2.38,0.753,-2.385,0.007,-0.023,4.19,16.7,present ,24.98,25.2,,,,,,,,,,,,
13/06/2020,6:00:01,-0.631,-2.37,0.636,-2.369,0.006,-0.023,4.19,16.6,present ,24.98,25.2,,,,,,,,,,,,
13/06/2020,6:30:01,-0.492,-2.327,0.876,-2.294,0.008,-0.022,4.19,16.29,present ,24.94,24.9,,,,,,,,,,,,
13/06/2020,7:00:00,-0.437,-2.324,0.972,-2.289,0.009,-0.022,4.19,16.4,present ,25.02,25.5,,,,,,,,,,,,
13/06/2020,7:30:01,-0.184,-2.355,1.409,-2.342,0.014,-0.023,4.19,17.2,present ,25.16,25.2,,,,,,,,,,,,
13/06/2020,8:00:01,0.235,-2.354,2.134,-2.341,0.021,-0.023,4.19,18.1,present ,25.4,25.2,,,,,,,,,,,,
13/06/2020,8:30:00,0.593,-2.209,2.754,-2.089,0.027,-0.02,4.19,19.2,present ,25.55,25.2,,,,,,,,,,,,
13/06/2020,9:00:00,1.246,-2.296,3.881,-2.241,0.038,-0.022,4.19,19.79,present ,25.86,24.9,,,,,,,,,,,,
13/06/2020,9:30:00,1.944,-2.17,5.088,-2.022,0.05,-0.02,4.19,20.8,present ,26.11,24.9,,,,,,,,,,,,
13/06/2020,10:00:00,2.783,-2.197,6.539,-2.069,0.065,-0.02,4.19,22,present ,25.9,24.9,,,,,,,,,,,,
13/06/2020,10:30:01,2.759,-2.204,6.498,-2.082,0.064,-0.02,4.19,22.3,present ,25.86,24.9,,,,,,,,,,,,
13/06/2020,11:00:00,3.133,-2.28,7.143,-2.212,0.071,-0.022,4.19,23,present ,26.29,24.6,,,,,,,,,,,,
13/06/2020,11:30:00,4.064,-2.258,8.752,-2.175,0.087,-0.021,4.19,24.4,present ,26.92,24.3,,,,,,,,,,,,
13/06/2020,12:00:00,4.352,-2.217,9.25,-2.104,0.092,-0.021,4.19,24.9,present ,26.25,24.6,,,,,,,,,,,,
13/06/2020,12:30:01,4.826,-2.186,10.069,-2.05,0.1,-0.02,4.19,25.7,present ,28.9,23.7,,,,,,,,,,,,
13/06/2020,13:00:01,4.827,-2.146,10.071,-1.981,0.1,-0.019,4.19,25.6,present ,25.9,24.9,,,,,,,,,,,,
13/06/2020,13:30:01,3.182,-2.314,7.228,-2.271,0.072,-0.022,4.19,24.6,present ,28.9,23.7,,,,,,,,,,,,
13/06/2020,14:00:01,5.108,-2.17,10.556,-2.022,0.105,-0.02,4.19,26.5,present ,28.93,23.4,,,,,,,,,,,,
13/06/2020,14:30:01,6.296,-2.14,12.61,-1.971,0.126,-0.019,4.19,28.1,present ,28.9,23.7,,,,,,,,,,,,
13/06/2020,15:00:01,6.392,-2.127,12.776,-1.948,0.127,-0.019,4.19,28.2,present ,28.97,23.4,,,,,,,,,,,,
13/06/2020,15:30:01,6.372,-2.053,12.741,-1.82,0.127,-0.018,4.19,28.3,present ,28.9,23.7,,,,,,,,,,,,
13/06/2020,16:00:00,6.622,-2.099,13.174,-1.899,0.131,-0.018,4.19,29.6,present ,28.97,23.4,,,,,,,,,,,,
13/06/2020,16:30:01,5.602,-2.142,11.411,-1.973,0.114,-0.019,4.19,28.2,present ,27.06,24,,,,,,,,,,,,
13/06/2020,17:00:00,3.822,-2.178,8.334,-2.037,0.083,-0.02,4.19,26.9,present ,25.9,25.2,,,,,,,,,,,,
13/06/2020,17:30:00,2.711,-2.187,6.414,-2.051,0.064,-0.02,4.19,26,present ,25.75,24.6,,,,,,,,,,,,
13/06/2020,18:00:00,1.409,-2.254,4.164,-2.168,0.041,-0.021,4.19,24.6,present ,25.69,24.9,,,,,,,,,,,,
13/06/2020,18:30:01,0.452,-2.384,2.51,-2.392,0.025,-0.023,4.19,22.2,present ,25.79,24.9,,,,,,,,,,,,
13/06/2020,19:00:01,0.108,-2.24,1.915,-2.144,0.019,-0.021,4.19,21.7,present ,25.61,24.9,,,,,,,,,,,,
13/06/2020,19:30:00,-0.052,-2.298,1.638,-2.244,0.016,-0.022,4.19,21.3,present ,25.72,24.9,,,,,,,,,,,,
13/06/2020,20:00:00,0.231,-2.284,2.129,-2.22,0.021,-0.022,4.19,21,present ,25.54,24.9,,,,,,,,,,,,
13/06/2020,20:30:01,0.032,-2.306,1.785,-2.258,0.017,-0.022,4.19,20,present ,25.51,24.9,,,,,,,,,,,,
13/06/2020,21:00:01,-0.349,-2.316,1.124,-2.275,0.011,-0.022,4.19,19.1,present ,25.44,24.9,,,,,,,,,,,,
13/06/2020,21:30:01,-0.479,-2.274,0.9,-2.201,0.009,-0.022,4.19,19.1,present ,25.4,25.2,,,,,,,,,,,,
13/06/2020,22:00:01,-0.473,-2.319,0.91,-2.28,0.009,-0.022,4.19,18.6,present ,25.37,24.9,,,,,,,,,,,,
13/06/2020,22:30:01,-0.534,-2.378,0.805,-2.381,0.008,-0.023,4.19,18.29,present ,25.3,25.2,,,,,,,,,,,,
13/06/2020,23:00:01,-0.524,-2.275,0.822,-2.204,0.008,-0.022,4.19,18.5,present ,25.3,25.2,,,,,,,,,,,,
13/06/2020,23:30:01,-0.69,-2.343,0.535,-2.322,0.005,-0.023,4.19,18.4,present ,25.26,25.2,,,,,,,,,,,,
14/06/2020,0:00:00,-0.634,-2.352,0.63,-2.338,0.006,-0.023,4.19,17.6,present ,25.22,24.9,,,,,,,,,,,,
14/06/2020,0:30:00,-0.564,-2.288,0.752,-2.226,0.007,-0.022,4.19,17,present ,25.19,25.2,,,,,,,,,,,,
14/06/2020,1:00:00,-0.635,-2.332,0.629,-2.303,0.006,-0.023,4.19,16.9,present ,25.15,24.9,,,,,,,,,,,,
14/06/2020,1:30:00,-0.794,-2.306,0.354,-2.258,0.003,-0.022,4.19,16.4,present ,25.09,25.2,,,,,,,,,,,,
14/06/2020,2:00:01,-0.713,-2.373,0.494,-2.373,0.004,-0.023,4.19,16.4,present ,25.05,24.9,,,,,,,,,,,,
14/06/2020,2:30:00,-0.656,-2.327,0.594,-2.293,0.005,-0.022,4.19,16.1,present ,25.01,25.2,,,,,,,,,,,,
14/06/2020,3:00:00,-0.845,-2.316,0.266,-2.275,0.002,-0.022,4.19,16.1,present ,25.01,25.2,,,,,,,,,,,,
14/06/2020,3:30:01,-0.592,-2.361,0.704,-2.353,0.007,-0.023,4.19,16,present ,24.98,24.9,,,,,,,,,,,,
14/06/2020,4:00:00,-0.044,-2.348,1.651,-2.33,0.016,-0.023,4.19,17.2,present ,24.94,24.9,,,,,,,,,,,,
14/06/2020,4:30:01,-0.313,-2.416,1.186,-2.447,0.011,-0.024,4.19,17.29,present ,24.95,25.5,,,,,,,,,,,,
14/06/2020,5:00:01,-0.163,-2.313,1.446,-2.27,0.014,-0.022,4.19,17,present ,24.91,25.2,,,,,,,,,,,,
14/06/2020,5:30:01,-0.152,-2.34,1.465,-2.317,0.014,-0.023,4.19,17.1,present ,24.91,25.5,,,,,,,,,,,,
14/06/2020,6:00:01,0.075,-2.369,1.859,-2.366,0.018,-0.023,4.19,17.29,present ,24.87,25.5,,,,,,,,,,,,
14/06/2020,6:30:00,-0.254,-2.403,1.288,-2.425,0.012,-0.024,4.19,16.5,present ,24.87,25.5,,,,,,,,,,,,
14/06/2020,7:00:01,0.443,-2.326,2.494,-2.293,0.024,-0.022,4.19,17.2,present ,24.87,25.2,,,,,,,,,,,,
14/06/2020,7:30:01,0.607,-2.326,2.777,-2.292,0.027,-0.022,4.19,17.4,present ,24.87,25.5,,,,,,,,,,,,
14/06/2020,8:00:00,0.97,-2.321,3.405,-2.284,0.034,-0.022,4.19,17.6,present ,24.84,25.5,,,,,,,,,,,,
14/06/2020,8:30:00,1.277,-2.32,3.936,-2.281,0.039,-0.022,4.19,17.7,present ,24.87,25.5,,,,,,,,,,,,
14/06/2020,9:00:00,1.564,-2.237,4.431,-2.138,0.044,-0.021,4.19,18.1,present ,24.84,25.2,,,,,,,,,,,,
14/06/2020,9:30:00,1.92,-2.331,5.048,-2.301,0.05,-0.023,4.19,18.5,present ,25.05,25.2,,,,,,,,,,,,
14/06/2020,10:00:00,2.61,-2.276,6.239,-2.205,0.062,-0.022,4.19,19.29,present ,25.47,24.9,,,,,,,,,,,,
14/06/2020,10:30:00,3.419,-2.171,7.638,-2.023,0.076,-0.02,4.19,20.5,present ,26.85,24.3,,,,,,,,,,,,
14/06/2020,11:00:00,4.433,-2.209,9.39,-2.09,0.093,-0.02,4.19,20.6,present ,27.38,23.7,,,,,,,,,,,,
14/06/2020,11:30:00,4.822,-2.248,10.063,-2.158,0.1,-0.021,4.19,20.5,present ,26.64,24.6,,,,,,,,,,,,
14/06/2020,12:00:00,5.243,-2.233,10.79,-2.131,0.107,-0.021,4.19,20.6,present ,28.9,23.7,,,,,,,,,,,,
14/06/2020,12:30:01,5.31,-2.12,10.905,-1.936,0.109,-0.019,4.19,21.3,present ,28.94,23.7,,,,,,,,,,,,
14/06/2020,13:00:01,6.306,-2.183,12.627,-2.045,0.126,-0.02,4.19,22,present ,28.97,23.4,,,,,,,,,,,,
14/06/2020,13:30:01,6.253,-2.177,12.535,-2.034,0.125,-0.02,4.19,22,present ,28.97,23.4,,,,,,,,,,,,
14/06/2020,14:00:01,6.314,-2.171,12.641,-2.024,0.126,-0.02,4.19,21.6,present ,28.93,23.4,,,,,,,,,,,,
14/06/2020,14:30:01,6.196,-2.102,12.438,-1.906,0.124,-0.019,4.19,22.3,present ,29.01,23.7,,,,,,,,,,,,
14/06/2020,15:00:01,6.446,-2.131,12.869,-1.954,0.128,-0.019,4.19,22.8,present ,28.9,23.4,,,,,,,,,,,,
14/06/2020,15:30:00,6.507,-2.159,12.975,-2.003,0.129,-0.02,4.19,23.1,present ,28.93,23.4,,,,,,,,,,,,
14/06/2020,16:00:01,6.066,-2.188,12.213,-2.054,0.122,-0.02,4.19,22.9,present ,28.93,23.1,,,,,,,,,,,,
14/06/2020,16:30:00,5.51,-2.168,11.251,-2.02,0.112,-0.02,4.19,23.1,present ,28.97,23.7,,,,,,,,,,,,
14/06/2020,17:00:01,5.454,-2.156,11.154,-1.999,0.111,-0.019,4.19,23.2,present ,28.9,23.4,,,,,,,,,,,,
14/06/2020,17:30:01,5.319,-2.192,10.922,-2.06,0.109,-0.02,4.19,23.1,present ,29.01,23.4,,,,,,,,,,,,
14/06/2020,18:00:00,4.519,-2.195,9.539,-2.065,0.095,-0.02,4.19,21.9,present ,28.9,23.7,,,,,,,,,,,,
14/06/2020,18:30:00,3.985,-2.279,8.617,-2.211,0.086,-0.022,4.19,22.2,present ,28.9,23.4,,,,,,,,,,,,
14/06/2020,19:00:00,4.133,-2.14,8.871,-1.971,0.088,-0.019,4.19,22.2,present ,28.69,23.7,,,,,,,,,,,,
14/06/2020,19:30:01,3.548,-2.276,7.86,-2.206,0.078,-0.022,4.19,21.4,present ,26.53,24.6,,,,,,,,,,,,
14/06/2020,20:00:00,2.737,-2.275,6.459,-2.203,0.064,-0.022,4.19,20.8,present ,26.92,24.3,,,,,,,,,,,,
14/06/2020,20:30:01,2.643,-2.305,6.297,-2.255,0.062,-0.022,4.19,20.7,present ,26.21,24.6,,,,,,,,,,,,
14/06/2020,21:00:01,2.242,-2.234,5.603,-2.133,0.056,-0.021,4.19,19.9,present ,25.86,24.9,,,,,,,,,,,,
14/06/2020,21:30:00,1.822,-2.315,4.878,-2.273,0.048,-0.022,4.19,19.6,present ,25.72,24.9,,,,,,,,,,,,
14/06/2020,22:00:00,1.277,-2.284,3.936,-2.22,0.039,-0.022,4.19,18.7,present ,25.65,24.9,,,,,,,,,,,,
14/06/2020,22:30:00,0.783,-2.347,3.083,-2.328,0.03,-0.023,4.19,17.9,present ,25.61,24.9,,,,,,,,,,,,
14/06/2020,23:00:00,0.785,-2.315,3.085,-2.274,0.03,-0.022,4.19,18.2,present ,25.54,24.6,,,,,,,,,,,,
14/06/2020,23:30:01,0.552,-2.318,2.682,-2.279,0.026,-0.022,4.19,18.2,present ,25.55,25.2,,,,,,,,,,,,
15/06/2020,0:00:01,0.49,-2.305,2.576,-2.255,0.025,-0.022,4.19,18.5,present ,25.51,25.2,,,,,,,,,,,,
15/06/2020,0:30:01,0.397,-2.277,2.414,-2.207,0.024,-0.022,4.19,18.5,present ,25.47,25.2,,,,,,,,,,,,
15/06/2020,1:00:00,0.272,-2.263,2.199,-2.184,0.021,-0.021,4.19,18.4,present ,25.47,24.9,,,,,,,,,,,,
15/06/2020,1:30:00,0.04,-2.354,1.798,-2.34,0.017,-0.023,4.19,18.2,present ,25.44,24.9,,,,,,,,,,,,
15/06/2020,2:00:00,0.098,-2.326,1.899,-2.292,0.018,-0.022,4.19,18.2,present ,25.4,24.9,,,,,,,,,,,,
15/06/2020,2:30:00,0.139,-2.32,1.969,-2.282,0.019,-0.022,4.19,17.7,present ,25.37,25.2,,,,,,,,,,,,
15/06/2020,3:00:01,-0.043,-2.371,1.653,-2.371,0.016,-0.023,4.19,17.6,present ,25.37,24.9,,,,,,,,,,,,
15/06/2020,3:30:01,-0.081,-2.428,1.586,-2.468,0.015,-0.024,4.19,17.7,present ,25.33,24.9,,,,,,,,,,,,
15/06/2020,4:00:01,-0.088,-2.358,1.574,-2.348,0.015,-0.023,4.19,17.29,present ,25.3,24.9,,,,,,,,,,,,
15/06/2020,4:30:01,-0.083,-2.403,1.583,-2.425,0.015,-0.024,4.19,17.2,present ,25.26,25.2,,,,,,,,,,,,
15/06/2020,5:00:00,0.051,-2.416,1.817,-2.447,0.018,-0.024,4.19,16.79,present ,25.22,24.9,,,,,,,,,,,,
15/06/2020,5:30:00,-0.208,-2.375,1.368,-2.376,0.013,-0.023,4.19,17.29,present ,25.22,24.9,,,,,,,,,,,,
15/06/2020,6:00:01,-0.12,-2.361,1.52,-2.352,0.015,-0.023,4.19,17.5,present ,25.19,25.2,,,,,,,,,,,,
15/06/2020,6:30:01,0.113,-2.335,1.924,-2.308,0.019,-0.023,4.19,17.5,present ,25.26,24.9,,,,,,,,,,,,
15/06/2020,7:00:00,0.408,-2.311,2.434,-2.265,0.024,-0.022,4.19,17.5,present ,25.4,25.2,,,,,,,,,,,,
15/06/2020,7:30:01,0.746,-2.335,3.018,-2.307,0.03,-0.023,4.19,17.7,present ,25.58,24.9,,,,,,,,,,,,
15/06/2020,8:00:01,1.338,-2.387,4.042,-2.398,0.04,-0.023,4.19,17.9,present ,25.82,24.6,,,,,,,,,,,,
15/06/2020,8:30:00,1.579,-2.349,4.457,-2.332,0.044,-0.023,4.19,17.6,present ,25.79,24.9,,,,,,,,,,,,
15/06/2020,9:00:00,1.877,-2.325,4.973,-2.29,0.049,-0.022,4.19,17.79,present ,25.97,24.6,,,,,,,,,,,,
15/06/2020,9:30:00,2.247,-2.323,5.612,-2.287,0.056,-0.022,4.19,17.79,present ,26.35,24.3,,,,,,,,,,,,
15/06/2020,10:00:00,2.607,-2.262,6.234,-2.181,0.062,-0.021,4.19,18.2,present ,26.35,24.3,,,,,,,,,,,,
15/06/2020,10:30:00,3.265,-2.273,7.372,-2.2,0.073,-0.022,4.19,19.1,present ,26.74,24,,,,,,,,,,,,
15/06/2020,11:00:01,4.457,-2.256,9.432,-2.172,0.094,-0.021,4.19,20.4,present ,27.8,23.7,,,,,,,,,,,,
15/06/2020,11:30:01,4.832,-2.224,10.08,-2.115,0.1,-0.021,4.19,21.2,present ,28.9,23.4,,,,,,,,,,,,
15/06/2020,12:00:01,4.846,-2.256,10.104,-2.171,0.101,-0.021,4.19,20.5,present ,28.93,23.4,,,,,,,,,,,,
15/06/2020,12:30:00,5.685,-2.186,11.554,-2.05,0.115,-0.02,4.19,22.2,present ,28.94,23.7,,,,,,,,,,,,
15/06/2020,13:00:00,5.44,-2.191,11.13,-2.059,0.111,-0.02,4.19,21.4,present ,28.9,23.1,,,,,,,,,,,,
15/06/2020,13:30:01,5.376,-2.204,11.021,-2.082,0.11,-0.02,4.19,20.8,present ,28.9,23.7,,,,,,,,,,,,
15/06/2020,14:00:01,5.429,-2.221,11.112,-2.111,0.111,-0.021,4.19,20.7,present ,28.94,23.7,,,,,,,,,,,,
15/06/2020,14:30:01,5.045,-2.286,10.448,-2.223,0.104,-0.022,4.19,20.5,present ,28.9,23.4,,,,,,,,,,,,
15/06/2020,15:00:00,4.58,-2.254,9.645,-2.168,0.096,-0.021,4.19,20.6,present ,28.94,23.7,,,,,,,,,,,,
15/06/2020,15:30:00,4.417,-2.242,9.362,-2.147,0.093,-0.021,4.19,20.9,present ,28.94,23.7,,,,,,,,,,,,
15/06/2020,16:00:00,4.541,-2.183,9.577,-2.044,0.095,-0.02,4.19,21.2,present ,28.9,23.4,,,,,,,,,,,,
15/06/2020,16:30:00,4.602,-2.181,9.683,-2.041,0.096,-0.02,4.19,21.5,present ,28.93,23.4,,,,,,,,,,,,
15/06/2020,17:00:01,5.062,-2.208,10.477,-2.089,0.104,-0.02,4.19,22.2,present ,28.94,23.7,,,,,,,,,,,,
