Date ,Time ,Uncorrected Out (cm/hr),Uncorrected In (cm/hr),Corrected Out (cm/hr),Corrected In (cm/hr),Sap Flow Out (kg/hr),Sap Flow In (kg/hr),Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Message,,,,,,,,,,,
16/09/2020,3:02:55,17.467,16.75,15.958,15.339,0.159,0.153,3.93,33.4,present ,18.7,142.8,,,,,,,,,,,,
25/09/2020,13:00:00,10.082,5.994,9.577,6.044,0.095,0.06,4.02,24.3,present ,25.41,98.7,,,,,,,,,,,,
25/09/2020,13:30:01,10.938,6.082,10.316,6.12,0.103,0.061,4.13,30.5,present ,27.28,92.7,,,,,,,,,,,,
25/09/2020,14:00:01,11.075,5.98,10.435,6.031,0.104,0.06,4.18,24,present ,28.52,34.2,,,,,,,,,,,,
25/09/2020,14:30:01,10.413,5.957,9.862,6.012,0.098,0.06,4.18,19.79,present ,26.12,26.1,,,,,,,,,,,,
25/09/2020,15:00:01,9.85,5.978,9.376,6.03,0.093,0.06,4.18,16.79,present ,25.97,24.9,,,,,,,,,,,,
25/09/2020,15:30:01,9.465,5.966,9.044,6.019,0.09,0.06,4.18,16.29,present ,25.9,24.9,,,,,,,,,,,,
25/09/2020,16:00:00,8.886,5.96,8.543,6.015,0.085,0.06,4.18,15.9,present ,25.82,24.6,,,,,,,,,,,,
25/09/2020,16:30:00,8.927,6.028,8.578,6.073,0.085,0.06,4.18,16.1,present ,26.46,24,,,,,,,,,,,,
25/09/2020,17:00:00,9.5,5.998,9.073,6.047,0.09,0.06,4.18,16.2,present ,26.04,24.6,,,,,,,,,,,,
25/09/2020,17:30:00,9.02,5.975,8.659,6.027,0.086,0.06,4.18,15.8,present ,25.79,24.3,,,,,,,,,,,,
25/09/2020,18:00:01,8.809,5.967,8.477,6.021,0.084,0.06,4.18,15.5,present ,25.79,24.3,,,,,,,,,,,,
25/09/2020,18:30:00,8.352,5.946,8.082,6.002,0.08,0.06,4.18,15.7,present ,25.61,24.6,,,,,,,,,,,,
25/09/2020,19:00:00,7.708,5.888,7.525,5.952,0.075,0.059,4.18,15.1,present ,25.47,24.6,,,,,,,,,,,,
25/09/2020,19:30:01,7.057,5.95,6.962,6.005,0.069,0.06,4.18,14.8,present ,25.29,24.3,,,,,,,,,,,,
25/09/2020,20:00:01,6.248,5.802,6.263,5.878,0.062,0.058,4.18,14.7,present ,25.15,24.6,,,,,,,,,,,,
25/09/2020,20:30:01,5.532,5.899,5.645,5.962,0.056,0.059,4.18,14.2,present ,25.01,24.6,,,,,,,,,,,,
25/09/2020,21:00:00,5.431,5.837,5.557,5.908,0.055,0.059,4.18,13.3,present ,24.97,24.3,,,,,,,,,,,,
25/09/2020,21:30:00,4.772,5.823,4.988,5.896,0.049,0.058,4.18,12.4,present ,24.94,24.6,,,,,,,,,,,,
25/09/2020,22:00:01,4.516,5.809,4.767,5.884,0.047,0.058,4.18,12.3,present ,24.9,24.6,,,,,,,,,,,,
25/09/2020,22:30:01,4.45,5.801,4.709,5.877,0.047,0.058,4.18,12.2,present ,24.9,24.3,,,,,,,,,,,,
25/09/2020,23:00:00,4.217,5.701,4.508,5.79,0.045,0.057,4.18,11.6,present ,24.83,24.6,,,,,,,,,,,,
25/09/2020,23:30:01,4.346,5.841,4.619,5.912,0.046,0.059,4.18,11.7,present ,24.8,24.6,,,,,,,,,,,,
26/09/2020,0:00:01,4.383,5.749,4.652,5.832,0.046,0.058,4.18,12.8,present ,24.76,24.9,,,,,,,,,,,,
26/09/2020,0:30:00,4.02,5.769,4.338,5.849,0.043,0.058,4.18,12.7,present ,24.73,24.6,,,,,,,,,,,,
26/09/2020,1:00:00,4.447,5.813,4.707,5.887,0.047,0.058,4.18,12.8,present ,24.69,24.9,,,,,,,,,,,,
26/09/2020,1:30:00,4.434,5.793,4.695,5.87,0.046,0.058,4.18,13,present ,24.69,24.6,,,,,,,,,,,,
26/09/2020,2:00:00,4.356,5.804,4.628,5.879,0.046,0.058,4.18,13.2,present ,24.65,24.6,,,,,,,,,,,,
26/09/2020,2:30:00,4.407,5.748,4.672,5.831,0.046,0.058,4.18,13.2,present ,24.62,24.9,,,,,,,,,,,,
26/09/2020,3:00:00,4.468,5.813,4.726,5.888,0.047,0.058,4.18,13.4,present ,24.59,24.9,,,,,,,,,,,,
26/09/2020,3:30:01,4.518,5.789,4.769,5.866,0.047,0.058,4.18,13.2,present ,24.58,24.6,,,,,,,,,,,,
26/09/2020,4:00:00,4.459,5.818,4.717,5.892,0.047,0.058,4.18,12.9,present ,24.55,24.6,,,,,,,,,,,,
26/09/2020,4:30:00,4.501,5.846,4.754,5.916,0.047,0.059,4.18,12.7,present ,24.52,24.9,,,,,,,,,,,,
26/09/2020,5:00:01,4.564,5.834,4.808,5.905,0.048,0.059,4.18,12.5,present ,24.52,24.9,,,,,,,,,,,,
26/09/2020,5:30:01,4.355,5.805,4.628,5.88,0.046,0.058,4.18,12.3,present ,24.48,24.6,,,,,,,,,,,,
26/09/2020,6:00:00,4.601,5.757,4.84,5.839,0.048,0.058,4.18,12,present ,24.44,24.6,,,,,,,,,,,,
26/09/2020,6:30:01,4.738,5.89,4.959,5.954,0.049,0.059,4.18,11.9,present ,24.44,24.6,,,,,,,,,,,,
26/09/2020,7:00:01,4.724,5.854,4.947,5.923,0.049,0.059,4.18,11.6,present ,24.41,24.6,,,,,,,,,,,,
26/09/2020,7:30:00,4.416,5.827,4.68,5.899,0.046,0.058,4.18,11.5,present ,24.37,24.9,,,,,,,,,,,,
26/09/2020,8:00:01,4.503,5.781,4.756,5.86,0.047,0.058,4.18,10.9,present ,24.37,24.6,,,,,,,,,,,,
26/09/2020,8:30:01,5.441,5.829,5.566,5.901,0.055,0.059,4.18,11.6,present ,24.38,25.2,,,,,,,,,,,,
26/09/2020,9:00:00,6.947,5.906,6.867,5.968,0.068,0.059,4.18,12.2,present ,24.37,24.9,,,,,,,,,,,,
26/09/2020,9:30:00,8.356,5.88,8.085,5.945,0.08,0.059,4.18,12.7,present ,24.41,24.6,,,,,,,,,,,,
26/09/2020,10:00:00,8.82,6.052,8.486,6.094,0.084,0.06,4.18,13,present ,24.44,24.9,,,,,,,,,,,,
26/09/2020,10:30:00,10.171,5.949,9.653,6.005,0.096,0.06,4.18,13.4,present ,24.66,24.9,,,,,,,,,,,,
26/09/2020,11:00:01,10.638,6.096,10.057,6.132,0.1,0.061,4.18,15.2,present ,26,24.3,,,,,,,,,,,,
26/09/2020,11:30:01,10.634,5.975,10.053,6.027,0.1,0.06,4.18,15.4,present ,25.64,24,,,,,,,,,,,,
26/09/2020,12:00:01,10.509,5.924,9.946,5.983,0.099,0.059,4.18,15.7,present ,26.42,24,,,,,,,,,,,,
26/09/2020,12:30:01,10.882,5.994,10.267,6.043,0.102,0.06,4.18,17.4,present ,26.25,24.3,,,,,,,,,,,,
26/09/2020,13:00:00,10.553,6.124,9.983,6.156,0.099,0.061,4.18,17.5,present ,26.81,23.7,,,,,,,,,,,,
26/09/2020,13:30:00,10.551,6.032,9.982,6.077,0.099,0.06,4.18,17.5,present ,26.35,24,,,,,,,,,,,,
26/09/2020,14:00:00,10.847,6.028,10.238,6.073,0.102,0.06,4.18,18.2,present ,27.45,23.7,,,,,,,,,,,,
26/09/2020,14:30:01,10.857,5.926,10.246,5.985,0.102,0.059,4.18,17.29,present ,26.17,24,,,,,,,,,,,,
26/09/2020,15:00:01,9.426,5.944,9.01,6,0.09,0.06,4.18,15.1,present ,25.92,23.7,,,,,,,,,,,,
26/09/2020,15:30:01,8.399,5.904,8.122,5.966,0.081,0.059,4.18,13.2,present ,26.07,23.7,,,,,,,,,,,,
26/09/2020,16:00:01,7.711,6.001,7.528,6.05,0.075,0.06,4.18,13.2,present ,25.93,24,,,,,,,,,,,,
26/09/2020,16:30:01,8.151,5.945,7.907,6.002,0.079,0.06,4.18,14.1,present ,26.17,24,,,,,,,,,,,,
26/09/2020,17:00:01,7.25,5.864,7.129,5.931,0.071,0.059,4.18,13.3,present ,25.71,23.7,,,,,,,,,,,,
26/09/2020,17:30:00,5.759,5.83,5.841,5.902,0.058,0.059,4.18,11.1,present ,25.64,23.7,,,,,,,,,,,,
26/09/2020,18:00:01,4.628,5.947,4.863,6.003,0.048,0.06,4.18,10.1,present ,25.74,23.4,,,,,,,,,,,,
26/09/2020,18:30:01,4.709,5.845,4.934,5.915,0.049,0.059,4.18,10.1,present ,25.54,24.3,,,,,,,,,,,,
26/09/2020,19:00:01,4.991,5.745,5.177,5.829,0.051,0.058,4.17,9.8,present ,25.43,23.4,,,,,,,,,,,,
26/09/2020,19:30:01,4.641,5.866,4.874,5.933,0.048,0.059,4.17,9.6,present ,25.32,23.4,,,,,,,,,,,,
26/09/2020,20:00:01,4.285,5.748,4.567,5.831,0.045,0.058,4.17,9.2,present ,25.25,23.1,,,,,,,,,,,,
26/09/2020,20:30:00,4.504,5.799,4.756,5.875,0.047,0.058,4.17,9.8,present ,25.21,23.1,,,,,,,,,,,,
26/09/2020,21:00:00,4.358,5.811,4.63,5.886,0.046,0.058,4.17,9.8,present ,25.14,23.4,,,,,,,,,,,,
26/09/2020,21:30:00,3.917,5.745,4.249,5.829,0.042,0.058,4.17,9.3,present ,25.07,23.4,,,,,,,,,,,,
26/09/2020,22:00:01,4.377,5.749,4.647,5.832,0.046,0.058,4.17,9.39,present ,25.03,23.1,,,,,,,,,,,,
26/09/2020,22:30:00,4.032,5.81,4.348,5.885,0.043,0.058,4.17,9.2,present ,25,23.4,,,,,,,,,,,,
26/09/2020,23:00:00,3.84,5.629,4.182,5.728,0.041,0.057,4.17,9.2,present ,24.93,23.1,,,,,,,,,,,,
26/09/2020,23:30:00,3.966,5.858,4.292,5.927,0.042,0.059,4.17,8.89,present ,24.89,23.4,,,,,,,,,,,,
27/09/2020,0:00:01,4.003,5.866,4.323,5.933,0.043,0.059,4.17,8.3,present ,24.86,23.4,,,,,,,,,,,,
27/09/2020,0:30:01,3.868,5.886,4.207,5.951,0.042,0.059,4.17,7.9,present ,24.82,23.4,,,,,,,,,,,,
27/09/2020,1:00:00,3.905,5.69,4.239,5.781,0.042,0.057,4.17,7.5,present ,24.75,23.1,,,,,,,,,,,,
27/09/2020,1:30:00,3.829,5.783,4.173,5.862,0.041,0.058,4.17,6.6,present ,24.72,23.7,,,,,,,,,,,,
27/09/2020,2:00:01,4.014,5.723,4.333,5.81,0.043,0.058,4.17,6.7,present ,24.65,23.4,,,,,,,,,,,,
27/09/2020,2:30:00,3.856,5.821,4.196,5.894,0.041,0.058,4.17,6.5,present ,24.58,23.7,,,,,,,,,,,,
27/09/2020,3:00:01,3.932,5.794,4.262,5.871,0.042,0.058,4.17,6.2,present ,24.54,23.1,,,,,,,,,,,,
27/09/2020,3:30:01,3.828,5.835,4.172,5.906,0.041,0.059,4.17,6.3,present ,24.44,23.7,,,,,,,,,,,,
27/09/2020,4:00:00,3.929,5.769,4.259,5.849,0.042,0.058,4.17,6.3,present ,24.4,23.4,,,,,,,,,,,,
27/09/2020,4:30:01,3.974,5.789,4.298,5.867,0.042,0.058,4.17,6.3,present ,24.29,23.7,,,,,,,,,,,,
27/09/2020,5:00:01,3.846,5.828,4.188,5.9,0.041,0.059,4.17,6.1,present ,24.26,23.7,,,,,,,,,,,,
27/09/2020,5:30:00,3.864,5.715,4.203,5.803,0.042,0.058,4.17,5.7,present ,24.22,23.4,,,,,,,,,,,,
27/09/2020,6:00:00,3.98,5.824,4.303,5.897,0.043,0.058,4.17,5.9,present ,24.19,23.7,,,,,,,,,,,,
27/09/2020,6:30:00,3.758,5.789,4.111,5.866,0.041,0.058,4.17,5.8,present ,24.19,23.7,,,,,,,,,,,,
27/09/2020,7:00:00,3.907,5.808,4.24,5.883,0.042,0.058,4.17,6,present ,24.15,23.7,,,,,,,,,,,,
27/09/2020,7:30:00,3.994,5.808,4.315,5.883,0.043,0.058,4.17,5.8,present ,24.11,23.4,,,,,,,,,,,,
27/09/2020,8:00:00,3.859,5.842,4.199,5.912,0.041,0.059,4.17,5.6,present ,24.08,23.7,,,,,,,,,,,,
27/09/2020,8:30:00,4.063,5.8,4.375,5.876,0.043,0.058,4.17,5.5,present ,24.08,23.4,,,,,,,,,,,,
27/09/2020,9:00:01,4.448,5.829,4.708,5.901,0.047,0.059,4.17,5.6,present ,24.08,23.7,,,,,,,,,,,,
27/09/2020,9:30:01,5.03,5.811,5.21,5.885,0.052,0.058,4.17,5.8,present ,24.04,23.4,,,,,,,,,,,,
27/09/2020,10:00:01,6.086,5.856,6.124,5.924,0.061,0.059,4.17,7,present ,24.04,23.4,,,,,,,,,,,,
27/09/2020,10:30:00,7.692,5.821,7.511,5.895,0.075,0.058,4.17,9.5,present ,24.08,23.4,,,,,,,,,,,,
27/09/2020,11:00:01,9.244,5.974,8.853,6.026,0.088,0.06,4.17,12.4,present ,25.39,23.4,,,,,,,,,,,,
27/09/2020,11:30:01,9.834,6.015,9.362,6.062,0.093,0.06,4.17,15.4,present ,25.95,22.8,,,,,,,,,,,,
27/09/2020,12:00:00,10.492,5.897,9.931,5.96,0.099,0.059,4.17,17.2,present ,26.13,23.1,,,,,,,,,,,,
27/09/2020,12:30:01,11.352,5.928,10.674,5.987,0.106,0.059,4.17,19.1,present ,26.34,22.8,,,,,,,,,,,,
27/09/2020,13:00:01,11.146,5.932,10.496,5.99,0.104,0.059,4.17,19.7,present ,26.59,22.5,,,,,,,,,,,,
27/09/2020,13:30:00,11.044,5.859,10.407,5.927,0.104,0.059,4.18,21.4,present ,26.87,22.8,,,,,,,,,,,,
27/09/2020,14:00:00,11.261,6.076,10.595,6.114,0.105,0.061,4.18,20.6,present ,27.26,22.5,,,,,,,,,,,,
27/09/2020,14:30:00,11.7,6.061,10.974,6.102,0.109,0.061,4.18,18.2,present ,27.86,22.5,,,,,,,,,,,,
27/09/2020,15:00:00,11.323,6.031,10.649,6.076,0.106,0.06,4.18,17.6,present ,28.75,21.9,,,,,,,,,,,,
27/09/2020,15:30:01,11.133,6.051,10.485,6.093,0.104,0.06,4.18,18.2,present ,28.74,21.6,,,,,,,,,,,,
27/09/2020,16:00:01,10.814,6.073,10.209,6.112,0.102,0.061,4.18,18.6,present ,28.78,21.6,,,,,,,,,,,,
27/09/2020,16:30:00,11.015,5.945,10.383,6.001,0.103,0.06,4.18,18.79,present ,28.74,21.6,,,,,,,,,,,,
27/09/2020,17:00:00,11.163,5.958,10.51,6.012,0.105,0.06,4.18,18.2,present ,26.31,23.1,,,,,,,,,,,,
27/09/2020,17:30:00,10.022,6.081,9.524,6.119,0.095,0.061,4.18,18.1,present ,26.06,23.1,,,,,,,,,,,,
27/09/2020,18:00:00,9.607,5.964,9.166,6.018,0.091,0.06,4.18,17,present ,25.95,22.8,,,,,,,,,,,,
27/09/2020,18:30:00,8.193,6.01,7.944,6.057,0.079,0.06,4.18,15.8,present ,25.88,22.8,,,,,,,,,,,,
27/09/2020,19:00:01,7.112,5.972,7.01,6.025,0.07,0.06,4.18,15,present ,25.78,23.1,,,,,,,,,,,,
27/09/2020,19:30:01,6.441,5.891,6.43,5.955,0.064,0.059,4.17,14.9,present ,25.71,23.1,,,,,,,,,,,,
27/09/2020,20:00:01,5.684,5.883,5.776,5.948,0.057,0.059,4.17,14.1,present ,25.67,23.1,,,,,,,,,,,,
27/09/2020,20:30:01,5.37,5.895,5.505,5.958,0.055,0.059,4.18,13.9,present ,25.6,23.1,,,,,,,,,,,,
27/09/2020,21:00:00,4.919,5.944,5.115,6,0.051,0.06,4.17,14.1,present ,25.53,23.4,,,,,,,,,,,,
27/09/2020,21:30:01,4.868,5.769,5.07,5.849,0.05,0.058,4.17,14.4,present ,25.53,22.8,,,,,,,,,,,,
27/09/2020,22:00:00,4.607,5.875,4.845,5.941,0.048,0.059,4.17,14.2,present ,25.46,23.4,,,,,,,,,,,,
27/09/2020,22:30:00,4.707,5.747,4.932,5.83,0.049,0.058,4.17,13.8,present ,25.46,23.1,,,,,,,,,,,,
27/09/2020,23:00:01,4.453,5.767,4.712,5.847,0.047,0.058,4.17,13.1,present ,25.39,23.4,,,,,,,,,,,,
27/09/2020,23:30:01,4.253,5.979,4.54,6.031,0.045,0.06,4.17,12.9,present ,25.39,23.4,,,,,,,,,,,,
28/09/2020,0:00:01,4.451,5.848,4.711,5.918,0.047,0.059,4.17,12.4,present ,25.35,23.4,,,,,,,,,,,,
28/09/2020,0:30:00,4.055,5.754,4.368,5.836,0.043,0.058,4.17,12.5,present ,25.32,23.4,,,,,,,,,,,,
28/09/2020,1:00:00,4.249,5.825,4.536,5.897,0.045,0.058,4.17,13.1,present ,25.28,23.4,,,,,,,,,,,,
28/09/2020,1:30:00,4.265,5.828,4.55,5.9,0.045,0.059,4.18,13.1,present ,25.25,23.4,,,,,,,,,,,,
28/09/2020,2:00:00,4.43,5.821,4.692,5.895,0.046,0.058,4.18,13.1,present ,25.21,23.4,,,,,,,,,,,,
28/09/2020,2:30:00,4.378,5.797,4.647,5.873,0.046,0.058,4.17,12.8,present ,25.18,23.4,,,,,,,,,,,,
28/09/2020,3:00:00,4.358,5.856,4.63,5.925,0.046,0.059,4.17,12.8,present ,25.17,23.1,,,,,,,,,,,,
28/09/2020,3:30:00,4.171,5.817,4.468,5.891,0.044,0.058,4.17,12.6,present ,25.14,23.4,,,,,,,,,,,,
28/09/2020,4:00:00,4.443,5.674,4.703,5.768,0.047,0.057,4.17,12.8,present ,25.1,23.1,,,,,,,,,,,,
28/09/2020,4:30:01,4.403,5.746,4.669,5.83,0.046,0.058,4.17,12.4,present ,25.07,23.4,,,,,,,,,,,,
28/09/2020,5:00:01,4.338,5.814,4.612,5.888,0.046,0.058,4.17,12.5,present ,25.04,23.4,,,,,,,,,,,,
28/09/2020,5:30:01,4.493,5.772,4.746,5.852,0.047,0.058,4.17,12.6,present ,25,23.4,,,,,,,,,,,,
28/09/2020,6:00:01,4.587,5.795,4.828,5.872,0.048,0.058,4.17,13.1,present ,25,23.4,,,,,,,,,,,,
28/09/2020,6:30:01,4.572,5.877,4.815,5.943,0.048,0.059,4.18,13.3,present ,24.96,23.1,,,,,,,,,,,,
28/09/2020,7:00:01,4.689,5.824,4.916,5.897,0.049,0.058,4.17,13.4,present ,24.93,23.4,,,,,,,,,,,,
28/09/2020,7:30:00,4.796,5.804,5.009,5.879,0.05,0.058,4.17,14.2,present ,24.86,23.4,,,,,,,,,,,,
28/09/2020,8:00:01,5.028,5.765,5.209,5.846,0.052,0.058,4.17,14.4,present ,24.9,23.7,,,,,,,,,,,,
28/09/2020,8:30:00,5.613,5.835,5.715,5.907,0.057,0.059,4.17,14.8,present ,24.86,23.7,,,,,,,,,,,,
28/09/2020,9:00:00,6.301,5.797,6.309,5.874,0.063,0.058,4.18,15,present ,24.82,23.4,,,,,,,,,,,,
28/09/2020,9:30:00,6.99,5.871,6.905,5.938,0.069,0.059,4.18,15.6,present ,24.83,23.7,,,,,,,,,,,,
28/09/2020,10:00:00,7.641,5.872,7.467,5.939,0.074,0.059,4.17,16.6,present ,24.79,23.7,,,,,,,,,,,,
28/09/2020,10:30:00,7.938,5.932,7.723,5.99,0.077,0.059,4.17,17.7,present ,24.79,23.4,,,,,,,,,,,,
28/09/2020,11:00:01,8.535,5.848,8.24,5.917,0.082,0.059,4.18,18,present ,24.79,23.4,,,,,,,,,,,,
28/09/2020,11:30:00,8.215,5.99,7.963,6.04,0.079,0.06,4.17,18.1,present ,24.75,23.4,,,,,,,,,,,,
28/09/2020,12:00:00,8.383,5.897,8.109,5.96,0.081,0.059,4.18,18.9,present ,24.75,23.7,,,,,,,,,,,,
28/09/2020,12:30:00,8.372,5.946,8.099,6.002,0.08,0.06,4.18,18.7,present ,24.75,23.7,,,,,,,,,,,,
28/09/2020,13:00:00,8.546,5.954,8.249,6.009,0.082,0.06,4.18,18.79,present ,24.75,23.7,,,,,,,,,,,,
28/09/2020,13:30:00,8.645,5.941,8.335,5.998,0.083,0.059,4.18,19.4,present ,24.75,23.4,,,,,,,,,,,,
28/09/2020,14:00:01,8.529,5.867,8.235,5.934,0.082,0.059,4.18,19.7,present ,24.79,23.7,,,,,,,,,,,,
28/09/2020,14:30:01,8.801,5.897,8.47,5.96,0.084,0.059,4.18,20.6,present ,24.75,23.4,,,,,,,,,,,,
28/09/2020,15:00:00,8.78,5.92,8.452,5.98,0.084,0.059,4.18,20.8,present ,24.75,23.7,,,,,,,,,,,,
28/09/2020,15:30:01,11.537,6.012,10.834,6.059,0.108,0.06,4.18,21.4,present ,25.74,23.4,,,,,,,,,,,,
28/09/2020,16:00:01,11.117,5.996,10.471,6.046,0.104,0.06,4.18,22.4,present ,25.6,23.4,,,,,,,,,,,,
28/09/2020,16:30:00,10.179,6.021,9.66,6.067,0.096,0.06,4.18,22.4,present ,25.6,23.1,,,,,,,,,,,,
28/09/2020,17:00:01,10.147,5.955,9.632,6.01,0.096,0.06,4.18,22.3,present ,25.46,23.1,,,,,,,,,,,,
28/09/2020,17:30:01,9.196,5.949,8.811,6.005,0.088,0.06,4.18,22.1,present ,25.35,23.4,,,,,,,,,,,,
28/09/2020,18:00:00,8.922,5.917,8.574,5.977,0.085,0.059,4.18,21.8,present ,25.22,23.7,,,,,,,,,,,,
28/09/2020,18:30:01,8.151,5.805,7.908,5.881,0.079,0.058,4.18,21.5,present ,25.11,23.7,,,,,,,,,,,,
28/09/2020,19:00:01,6.989,5.894,6.904,5.958,0.069,0.059,4.18,21.3,present ,25,23.4,,,,,,,,,,,,
28/09/2020,19:30:00,6.287,5.867,6.297,5.934,0.062,0.059,4.18,21.3,present ,24.86,23.4,,,,,,,,,,,,
28/09/2020,20:00:00,5.551,5.853,5.661,5.922,0.056,0.059,4.18,20.9,present ,24.75,23.4,,,,,,,,,,,,
28/09/2020,20:30:00,5.201,5.802,5.359,5.878,0.053,0.058,4.18,20.7,present ,24.68,23.4,,,,,,,,,,,,
28/09/2020,21:00:00,4.753,5.802,4.971,5.878,0.049,0.058,4.18,20.7,present ,24.65,23.4,,,,,,,,,,,,
28/09/2020,21:30:00,4.765,5.81,4.982,5.885,0.049,0.058,4.18,20.2,present ,24.61,23.7,,,,,,,,,,,,
28/09/2020,22:00:01,4.525,5.787,4.775,5.865,0.047,0.058,4.18,20.2,present ,24.58,24,,,,,,,,,,,,
28/09/2020,22:30:00,4.512,5.84,4.763,5.911,0.047,0.059,4.18,20.2,present ,24.51,24,,,,,,,,,,,,
28/09/2020,23:00:00,4.441,5.792,4.702,5.869,0.047,0.058,4.18,20.4,present ,24.51,24,,,,,,,,,,,,
28/09/2020,23:30:00,4.156,5.808,4.455,5.883,0.044,0.058,4.18,20.29,present ,24.47,23.7,,,,,,,,,,,,
29/09/2020,0:00:01,4.254,5.821,4.54,5.894,0.045,0.058,4.18,20.29,present ,24.44,24,,,,,,,,,,,,
29/09/2020,0:30:01,4.254,5.827,4.54,5.899,0.045,0.058,4.18,20.4,present ,24.4,24,,,,,,,,,,,,
29/09/2020,1:00:01,4.175,5.749,4.472,5.832,0.044,0.058,4.18,20.7,present ,24.37,24,,,,,,,,,,,,
29/09/2020,1:30:01,4.229,5.792,4.519,5.869,0.045,0.058,4.18,20.7,present ,24.33,24,,,,,,,,,,,,
29/09/2020,2:00:01,4.114,5.761,4.419,5.842,0.044,0.058,4.18,20.8,present ,24.3,24,,,,,,,,,,,,
29/09/2020,2:30:00,4.333,5.797,4.609,5.873,0.046,0.058,4.18,20.8,present ,24.26,24,,,,,,,,,,,,
29/09/2020,3:00:01,4.333,5.717,4.608,5.805,0.046,0.058,4.18,21.1,present ,24.22,24,,,,,,,,,,,,
29/09/2020,3:30:00,4.242,5.819,4.53,5.893,0.045,0.058,4.18,20.8,present ,24.19,23.7,,,,,,,,,,,,
29/09/2020,4:00:00,4.116,5.813,4.421,5.887,0.044,0.058,4.18,20.8,present ,24.19,24,,,,,,,,,,,,
29/09/2020,4:30:00,4.211,5.782,4.503,5.861,0.045,0.058,4.18,20.6,present ,24.15,24,,,,,,,,,,,,
29/09/2020,5:00:00,4.369,5.761,4.639,5.843,0.046,0.058,4.18,20.29,present ,24.12,24,,,,,,,,,,,,
29/09/2020,5:30:00,4.208,5.767,4.501,5.848,0.045,0.058,4.18,20.4,present ,24.08,23.7,,,,,,,,,,,,
29/09/2020,6:00:00,4.298,5.8,4.579,5.877,0.045,0.058,4.18,20.4,present ,24.05,24.3,,,,,,,,,,,,
29/09/2020,6:30:00,4.261,5.792,4.547,5.869,0.045,0.058,4.18,20.4,present ,24.05,24,,,,,,,,,,,,
29/09/2020,7:00:01,4.306,5.743,4.585,5.827,0.045,0.058,4.18,20.2,present ,23.98,24,,,,,,,,,,,,
29/09/2020,7:30:00,4.189,5.769,4.484,5.849,0.044,0.058,4.18,19.79,present ,23.98,24,,,,,,,,,,,,
29/09/2020,8:00:00,4.463,5.854,4.721,5.923,0.047,0.059,4.18,19.79,present ,23.94,24,,,,,,,,,,,,
29/09/2020,8:30:00,5.397,5.815,5.528,5.889,0.055,0.058,4.18,19.7,present ,23.91,24.3,,,,,,,,,,,,
29/09/2020,9:00:00,6.035,5.858,6.079,5.927,0.06,0.059,4.18,19.5,present ,23.91,24.3,,,,,,,,,,,,
29/09/2020,9:30:00,7.008,5.884,6.92,5.948,0.069,0.059,4.18,19.79,present ,23.91,24,,,,,,,,,,,,
29/09/2020,10:00:01,7.709,5.926,7.526,5.985,0.075,0.059,4.18,20.1,present ,23.91,24.3,,,,,,,,,,,,
29/09/2020,10:30:01,10.229,6.037,9.704,6.081,0.097,0.06,4.18,20.5,present ,23.91,24.3,,,,,,,,,,,,
29/09/2020,11:00:00,11.02,6.014,10.387,6.061,0.103,0.06,4.18,22,present ,24.44,24,,,,,,,,,,,,
29/09/2020,11:30:01,10.894,5.992,10.278,6.042,0.102,0.06,4.18,23.6,present ,25.11,23.7,,,,,,,,,,,,
29/09/2020,12:00:01,11.174,5.945,10.52,6.002,0.105,0.06,4.18,25.3,present ,25.22,23.7,,,,,,,,,,,,
29/09/2020,12:30:00,11.319,5.999,10.646,6.048,0.106,0.06,4.18,27.1,present ,25.46,23.4,,,,,,,,,,,,
29/09/2020,13:00:01,11.833,5.962,11.089,6.017,0.11,0.06,4.18,28.4,present ,25.67,23.4,,,,,,,,,,,,
29/09/2020,13:30:01,11.04,6.032,10.404,6.077,0.104,0.06,4.18,28.8,present ,25.89,23.4,,,,,,,,,,,,
29/09/2020,14:00:01,11.476,6.021,10.781,6.067,0.107,0.06,4.18,28.3,present ,25.53,23.7,,,,,,,,,,,,
29/09/2020,14:30:01,11.494,6.067,10.797,6.107,0.107,0.061,4.18,26.2,present ,26.34,23.1,,,,,,,,,,,,
29/09/2020,15:00:01,11.263,6.039,10.597,6.083,0.105,0.06,4.18,25.5,present ,25.82,23.4,,,,,,,,,,,,
29/09/2020,15:30:00,10.989,6.059,10.36,6.1,0.103,0.061,4.18,26,present ,26.91,22.8,,,,,,,,,,,,
29/09/2020,16:00:01,10.708,6.049,10.118,6.092,0.101,0.06,4.18,26.9,present ,26.87,22.5,,,,,,,,,,,,
29/09/2020,16:30:00,11.17,6.028,10.516,6.073,0.105,0.06,4.18,26.9,present ,26.42,23.1,,,,,,,,,,,,
29/09/2020,17:00:00,10.364,6.13,9.82,6.162,0.098,0.061,4.18,25.5,present ,26.13,22.8,,,,,,,,,,,,
29/09/2020,17:30:00,8.901,6.047,8.556,6.089,0.085,0.06,4.18,24.9,present ,25.92,23.4,,,,,,,,,,,,
29/09/2020,18:00:00,7.469,5.917,7.319,5.977,0.073,0.059,4.18,21.8,present ,25.74,23.1,,,,,,,,,,,,
